,start_time,close,datetime,high,low,open,volume
0,1585843200000,6930.7716769,2020-04-02 16:00:00,6934.63930941,6805.04242211,6821.34350513,32728.562418128586
1,1585846800000,7093.70648679,2020-04-02 17:00:00,7255.40175369,6924.68075583,6925.1498248,64745.05995212329
2,1585850400000,6796.61649663,2020-04-02 18:00:00,7112.52234793,6741.2886487,7097.92735381,48217.955561868046
3,1585854000000,6808.73026861,2020-04-02 19:00:00,6884.17887709,6727.96137576,6799.87958106,20879.68123894634
4,1585857600000,6749.60379237,2020-04-02 20:00:00,6809.96035852,6664.3457956,6806.67556892,18569.232864893864
5,1585861200000,6846.38725228,2020-04-02 21:00:00,6865.49445521,6721.58344237,6763.12622387,10780.714762175314
6,1585864800000,6852.0644274,2020-04-02 22:00:00,6883.08120383,6791.60727353,6838.07518432,8909.505675707545
7,1585868400000,6796.80220271,2020-04-02 23:00:00,6852.26845919,6741.63443397,6851.01031634,9684.126465033662
8,1585872000000,6746.99851746,2020-04-03 00:00:00,6825.3057457,6735.85012415,6800.58368395,7776.029686119519
9,1585875600000,6807.26219278,2020-04-03 01:00:00,6827.18575153,6724.56190349,6744.64431168,6240.25051346671
10,1585879200000,6815.41716257,2020-04-03 02:00:00,6845.60463785,6780.93527438,6801.84752333,7157.918712634117
11,1585882800000,6783.28129422,2020-04-03 03:00:00,6848.08063643,6770.92843288,6815.4557034,7055.546702915009
12,1585886400000,6789.46032369,2020-04-03 04:00:00,6810.55723432,6763.20903982,6783.21745143,3972.683653615533
13,1585890000000,6778.47995889,2020-04-03 05:00:00,6811.68087822,6753.24664863,6804.1817342,5278.112900141955
14,1585893600000,6792.99403868,2020-04-03 06:00:00,6838.58597543,6764.21691791,6779.0120718,7601.385564422013
15,1585897200000,6950.0362993,2020-04-03 07:00:00,6970.99647912,6790.12505105,6800.92813211,25052.440538911495
16,1585900800000,6939.38261698,2020-04-03 08:00:00,6993.00025181,6880.6164465,6938.44881769,16557.39935517246
17,1585904400000,6970.50912115,2020-04-03 09:00:00,6987.81880973,6898.42138342,6937.5008276,10731.605039017892
18,1585908000000,7020.10652417,2020-04-03 10:00:00,7060.10944596,6918.44447402,6969.71499017,15866.57810773283
19,1585911600000,7015.50033854,2020-04-03 11:00:00,7050.50693631,6939.57647963,7028.40788369,16496.097396217014
20,1585915200000,6923.53054253,2020-04-03 12:00:00,7029.00451783,6844.37176466,7015.47357935,24370.860522369916
21,1585918800000,6850.29868683,2020-04-03 13:00:00,6955.47147853,6829.13088146,6927.19430115,17581.85893338102
22,1585922400000,6801.04435627,2020-04-03 14:00:00,6877.94521234,6730.18525552,6851.03432858,22212.983223786207
23,1585926000000,6718.44281621,2020-04-03 15:00:00,6835.88152084,6679.99554984,6803.52279342,22111.717021384586
24,1585929600000,6761.10193876,2020-04-03 16:00:00,6782.70859921,6614.0151889,6718.76163722,24769.96049242678
25,1585933200000,6721.2992429,2020-04-03 17:00:00,6815.47354766,6678.12340782,6764.73724719,14695.674293239945
26,1585936800000,6754.71216144,2020-04-03 18:00:00,6767.18243652,6684.8785387,6721.53647298,7327.296005849416
27,1585940400000,6776.52798878,2020-04-03 19:00:00,6799.67906896,6745.37166818,6757.05752614,6907.251317652508
28,1585944000000,6703.27976176,2020-04-03 20:00:00,6826.39494976,6685.83093144,6778.95008671,9473.262034463189
29,1585947600000,6735.17731517,2020-04-03 21:00:00,6762.93626906,6678.62098634,6703.3423899,5194.321756232628
30,1585951200000,6775.69787998,2020-04-03 22:00:00,6783.20527625,6712.71538519,6734.97730072,3531.788614131661
31,1585954800000,6747.50645278,2020-04-03 23:00:00,6794.80059927,6722.84092176,6776.68653531,4003.113938223983
32,1585958400000,6764.38648946,2020-04-04 00:00:00,6770.67450183,6717.46119681,6746.3570333,4020.359306631564
33,1585962000000,6772.73765165,2020-04-04 01:00:00,6816.25944211,6744.27996482,6765.33204169,6477.507266966384
34,1585965600000,6684.20687918,2020-04-04 02:00:00,6765.3890768,6680.52556832,6757.36711544,6381.019403887193
35,1585969200000,6707.23486791,2020-04-04 03:00:00,6724.44354718,6675.19958087,6692.06682305,5756.215137809471
36,1585972800000,6716.46218397,2020-04-04 04:00:00,6743.41527531,6698.13213629,6708.98920179,4188.394099198454
37,1585976400000,6741.01455029,2020-04-04 05:00:00,6773.18903621,6711.18258581,6716.84483348,4871.949222692171
38,1585980000000,6728.67746943,2020-04-04 06:00:00,6748.50622268,6700.33032399,6730.34795929,4221.754122456493
39,1585983600000,6740.41495374,2020-04-04 07:00:00,6753.71338504,6718.7741261,6728.90348664,3703.3182797377153
40,1585987200000,6791.47230922,2020-04-04 08:00:00,6792.27534379,6735.54549444,6746.67376262,7039.592881861709
41,1585990800000,6848.10704626,2020-04-04 09:00:00,6873.97044936,6748.86708416,6796.97597237,15006.74113369635
42,1585994400000,6885.35204068,2020-04-04 10:00:00,6902.53573972,6816.82124474,6848.59302704,15144.42175900743
43,1585998000000,6711.81819105,2020-04-04 11:00:00,6915.34043955,6660.46286492,6886.21464044,23518.177606923786
44,1586001600000,6711.68507711,2020-04-04 12:00:00,6748.32777706,6665.85337618,6711.90910395,10254.817547143595
45,1586005200000,6728.09615836,2020-04-04 13:00:00,6756.69327961,6700.56909302,6711.87188165,5370.5333260268635
46,1586008800000,6712.67682565,2020-04-04 14:00:00,6749.30666526,6706.02866871,6736.98005151,4323.915060474854
47,1586012400000,6731.35439257,2020-04-04 15:00:00,6773.38569511,6707.16762301,6710.55370204,4953.921350847588
48,1586016000000,6796.41524129,2020-04-04 16:00:00,6815.14591993,6723.15444794,6739.80358788,8681.014865536235
49,1586019600000,6787.67456236,2020-04-04 17:00:00,6820.33181583,6772.34052721,6800.97403816,7758.0532047739025
50,1586023200000,6789.49169726,2020-04-04 18:00:00,6819.25508166,6769.15784009,6792.31269514,4843.576490139678
51,1586026800000,6749.02579148,2020-04-04 19:00:00,6798.19089766,6727.49038572,6785.83120232,5271.361975909857
52,1586030400000,6844.16258961,2020-04-04 20:00:00,7009.68589368,6746.41537333,6762.25154624,32848.65262096526
53,1586034000000,6863.7299742,2020-04-04 21:00:00,6903.35964278,6834.70916918,6838.82578632,8232.977568638384
54,1586037600000,6841.74360621,2020-04-04 22:00:00,6893.56423123,6792.89516156,6874.58149651,6798.020903893299
55,1586041200000,6860.45023424,2020-04-04 23:00:00,6885.86968296,6822.29790389,6860.04676509,4096.007470274038
56,1586044800000,6879.18834884,2020-04-05 00:00:00,6910.52562654,6841.43021423,6873.19763199,7277.313101502384
57,1586048400000,6851.6890657,2020-04-05 01:00:00,6893.2628264,6842.21635635,6878.78477495,4047.718401031288
58,1586052000000,6853.08467418,2020-04-05 02:00:00,6865.16675138,6816.20012147,6851.69604172,4672.208616771363
59,1586055600000,6796.99754765,2020-04-05 03:00:00,6849.89233328,6793.27352829,6843.43764302,6700.199041190226
60,1586059200000,6777.2662595,2020-04-05 04:00:00,6812.5932607,6753.83336626,6808.25855619,9637.226158883344
61,1586062800000,6792.75313136,2020-04-05 05:00:00,6856.52669038,6763.27085833,6784.32018189,5504.377692653017
62,1586066400000,6774.76902348,2020-04-05 06:00:00,6810.95132722,6746.68620547,6802.38704085,6268.555125778651
63,1586070000000,6773.18236909,2020-04-05 07:00:00,6805.07043993,6753.74981159,6780.49915664,3589.057589135768
64,1586073600000,6782.46148395,2020-04-05 08:00:00,6815.09401615,6757.93185124,6779.60540602,4005.42581251924
65,1586077200000,6782.69404139,2020-04-05 09:00:00,6844.86950985,6767.76588231,6799.18264648,5588.830754829128
66,1586080800000,6754.56642744,2020-04-05 10:00:00,6799.513781,6749.1949712,6780.19895091,5258.831628610545
67,1586084400000,6791.36361456,2020-04-05 11:00:00,6823.81324627,6754.9443856,6757.69364149,6369.590017733194
68,1586088000000,6795.02891054,2020-04-05 12:00:00,6812.38331935,6763.78459906,6783.65557273,3804.6804650570502
69,1586091600000,6806.99279074,2020-04-05 13:00:00,6832.7327673,6782.2183182,6796.09637616,4689.889419503241
70,1586095200000,6781.62969054,2020-04-05 14:00:00,6809.83778408,6774.67404648,6806.85517797,4024.337930561472
71,1586098800000,6786.47560682,2020-04-05 15:00:00,6814.36462245,6771.16707908,6787.71324177,3780.2926011101304
72,1586102400000,6788.05295879,2020-04-05 16:00:00,6809.42779852,6771.03802569,6791.98913578,3624.8875573550654
73,1586106000000,6808.81458809,2020-04-05 17:00:00,6847.36887424,6682.77519147,6789.20646894,21237.37578142697
74,1586109600000,6803.08908942,2020-04-05 18:00:00,6826.41799498,6781.4133674,6810.66806631,6800.364379472822
75,1586113200000,6803.92995877,2020-04-05 19:00:00,6822.92516724,6791.01801841,6803.18842056,2748.1127913965165
76,1586116800000,6760.28685705,2020-04-05 20:00:00,6804.40640797,6734.45872003,6796.36430289,5628.57373645848
77,1586120400000,6767.74648432,2020-04-05 21:00:00,6803.54347771,6729.07977763,6753.80676476,3531.8548644126454
78,1586124000000,6808.36020596,2020-04-05 22:00:00,6820.75164172,6762.80027502,6767.68806177,5750.290767090844
79,1586127600000,6780.21924078,2020-04-05 23:00:00,6816.39138808,6767.00669138,6808.45088518,3623.630331426477
80,1586131200000,6879.52175529,2020-04-06 00:00:00,6888.18296351,6772.73451555,6780.66047721,14796.24119516392
81,1586134800000,6841.48266244,2020-04-06 01:00:00,6901.49750346,6832.11720572,6880.43249257,8577.136487131547
82,1586138400000,6838.41283615,2020-04-06 02:00:00,6857.5858571,6805.72604812,6847.98987458,7306.982978745966
83,1586142000000,6858.7417477,2020-04-06 03:00:00,6860.62647035,6829.67940397,6832.05138108,6294.343492313993
84,1586145600000,6955.07732902,2020-04-06 04:00:00,6973.46991521,6849.95903081,6849.96214586,28375.836651151996
85,1586149200000,7004.0430238,2020-04-06 05:00:00,7015.94896028,6922.68923596,6950.25298607,20197.91081424312
86,1586152800000,7090.81761852,2020-04-06 06:00:00,7111.34059908,6971.95631193,7005.11468057,27400.871719905597
87,1586156400000,7038.8806644,2020-04-06 07:00:00,7112.59385144,6957.68180746,7090.29746418,26305.108147548
88,1586160000000,7050.68310378,2020-04-06 08:00:00,7098.09591137,7025.74887885,7040.62939864,13734.976470475996
89,1586163600000,7118.62989794,2020-04-06 09:00:00,7160.026402,7042.91467621,7050.24956378,18685.10882852076
90,1586167200000,7090.16549402,2020-04-06 10:00:00,7162.5534576,7082.73016855,7120.4491617,11369.357415222828
91,1586170800000,7113.27506843,2020-04-06 11:00:00,7133.84814599,7081.68860467,7089.97637041,7292.655331950593
92,1586174400000,7136.38184494,2020-04-06 12:00:00,7178.22605793,7109.1072859,7112.83920286,11320.469063936198
93,1586178000000,7112.2326248,2020-04-06 13:00:00,7175.31701583,7047.31662171,7144.40311594,16848.159739264924
94,1586181600000,7112.72381613,2020-04-06 14:00:00,7131.86059789,7070.63307232,7111.36489009,8615.882089347224
95,1586185200000,7157.11352693,2020-04-06 15:00:00,7164.09096733,6973.13646957,7113.22860351,9708.535643078652
96,1586188800000,7154.05437251,2020-04-06 16:00:00,7198.78954099,7090.09892193,7159.27165705,17523.039624123743
97,1586192400000,7219.34297548,2020-04-06 17:00:00,7231.58690203,7144.90542927,7155.34953783,19750.81863525288
98,1586196000000,7252.05572277,2020-04-06 18:00:00,7260.84446781,7186.94323539,7220.46084213,12980.90631200276
99,1586199600000,7280.06173611,2020-04-06 19:00:00,7319.18045287,7234.05778392,7251.2629031,22726.971041566812
100,1586203200000,7224.22455402,2020-04-06 20:00:00,7302.56434356,7195.9270221,7278.63998771,12655.43205436935
101,1586206800000,7306.98508349,2020-04-06 21:00:00,7308.56278014,7204.79680452,7229.5509915,5657.308880633021
102,1586210400000,7273.99759048,2020-04-06 22:00:00,7302.2751784,7240.82212031,7302.13183091,5185.881153970875
103,1586214000000,7341.10202024,2020-04-06 23:00:00,7367.29094909,7249.16719142,7275.53789809,15508.360522238612
104,1586217600000,7377.09199178,2020-04-07 00:00:00,7503.64695627,7311.7342739,7338.86822312,35122.70151872277
105,1586221200000,7354.24360969,2020-04-07 01:00:00,7425.81289144,7342.20712075,7375.99399775,12537.760703530186
